Вопросы,Ответы
Ты в отношениях? Можем ли что-то из этого показать в блоге?,"да, можно, хотим делать совместный юморной контент"
Что самого крутого ты узнал на этой неделе?,"А что я узнала на этой неделе? Я узнала, что хочу перечитать книгу «Ответ», что мне нужно найти какие-то внутренние мотивации, сейчас посмотреть личности, кем можно вдохновляться. Кто меня будет драйвить своими подходами или ещё как-то"
"Худший поступок другого человека в твою сторону.
","Худший поступок человека в мою сторону — это когда бывшая управляющая по креативу в нашем агентстве увела у нас проект. Она договорилась за спиной работать с олимпийской чемпионкой, в которую я вложила очень много сил и времени: я нашла этот проект, и если бы не я, она бы даже не знала, как с ней познакомиться, и не вышла бы вообще на контакт.

В итоге, когда я увольняла управляющих (у нас было две), был личностный конфликт. Мы их уволили, и она договорилась с этой олимпийской чемпионкой, что будет работать с ней. Но, как обычно, карма быстро настигла: они перестали работать из-за конфликта уже на почве мнения о политике."
"Назови 5-7 своих убеждений, в которых тебя нельзя переубедить.
","Убеждения, в которых меня нельзя переубедить.

Если мы говорим про мою сферу, то первое, что пришло в голову: классический маркетинг намного лучше, чем инфобизнесовская вся вот эта история. Это уже такой вывод, исходя из недавних лет работы.

Основа маркетинга — это анализ целевой аудитории: потребности, страхи, возражения. Всё работает через это на самом деле. И если ты не работаешь через вот такие смыслы, то ты не продаёшь и не продашь.

Сколько бы ты там денег ни вливал в маркетинг, в трафик, вот эта вся история, люди даже просто триггериться на рекламу не будут, если тупо из башки придумывать.

Ну и ещё убеждение, что нужно корректно общаться с людьми: без оскорблений, не поднимать голос, потому что для меня это прям очень сильно принципиально. Если люди позволяют себе такие действия в мою сторону, то я с ними вообще не работаю.

Убеждения тоже, следствия из кейса Оли Сок: продажи не будут идти без эксперта. Не получится так, что команда делает всё за эксперта, а он там чисто создаёт контентик. Это так не работает, и всё.
Ещё одно убеждение, оно прям первоочередное: то, с кем я работаю, — это должна быть, опять же, полезная сфера. Без наёба людей, чтобы у этой сферы и вообще у этого проекта была цель и миссия.

Вот, например, с Beauty Day: сначала я воспринимала там как миссию то, что помогаем людям реализовываться, но вообще цель у собственника была только одна. То есть он прикрывался вот этой вот историей, что мы помогаем реализовываться. На самом деле насрать ему было на всё это, и всё, что нужно было, — это доход, и это считывалось в каждом его сообщении. Это считывалось в том, как он там переделывал упаковку сайтов, какие смыслы он использовал.

Короче, это было всё понятно, и это тоже был ещё один пункт того, что я выгорела.
"
"Каким 5-7 главным вещам ты научился в своей жизни?
","Каким главным вещам я научилась в жизни?

1. Находить общий язык с разными людьми. Люди — один из самых ценных ресурсов вообще в жизни, и никогда не знаешь, как тебе это знакомство может помочь и во что это может развиться. Поэтому я стараюсь максимально оставлять позитивное впечатление и расходиться без негатива, потому что действительно: там через года вдруг могут появиться какие-то возможности.

2. Погружаться в потребности человека: понимать, что он вообще хочет. Но это тоже к нахождению общего языка, этот момент. Потому что все люди всё равно эгоцентричны, они думают про себя, и когда ты показываешь, что ты понимаешь человека, это создаёт очень хорошее впечатление и коннект.

3. Убирать из своей жизни людей, которые мне не нравятся, с которыми я не хочу общаться. С этим тоже раньше была проблема, но сейчас окей.

4. Отсматривать, что мне навязывает общество, а что мне нравится самой. Хотя бы анализировать всю эту историю, потому что тоже был момент: жить на Бали, все дела — вот это круто. В итоге мы съездили, нифига это не круто, по крайней мере для нас с мужем. И вот после этого пришло какое-то осознание, что нужно вообще оценивать сначала: вот эти вот вещи, которые там думают, что круто, — это круто для меня или нет, и уже дальше смотреть.

Ещё одно, я считаю, — это структурность, системность и работа с цифрами. Это прям очень хороший навык, который на самом деле пригодится вообще в любом деле, потому что ты учишься аналитике в любом случае. И когда у тебя есть структура, ты в любом деле сможешь двигаться системно, поэтапно, пошагово, не распыляясь на какие-то вещи. Это ведёт быстрее к результату, и будет выше продуктивность."
Чего ты боишься больше всего в жизни?,умереть в нищете))))))
"В чем тебе повезло?
","Если смотреть, в чём мне повезло, это как будто бы такая история, что все действия, которые ты делаешь в осознанном возрасте, они приводят уже тебя к результату. Поэтому это не считается как будто бы повезло.

Вот что повезло:

1. Что я в России родилась, потому что есть страны, в которых вообще лучше не рождаться, там, где женщины вообще не имеют прав.
2. Что родилась в семье, которая вкладывалась в моё развитие тоже как могли. То есть оплачивали мне какие-то кружки, курсы, танцы — вот на это им вообще не было жалко денег, чтобы я обучалась там либо развивалась как-то лично."
Какие мысли ты хочешь донести до людей своим блогом?,"Какие мысли я хочу для людей довести своим блогом?

Самое первое и основное: маркетинг — это реально крутая история, это рабочая история. Это не только инфобизнесовская история, не только инфоцыганская. Это то, что может помочь реально прийти к бизнес-целям, да и вообще хотя бы поставить эти бизнес-цели на самом деле и оценить, насколько они реальны.

Здесь, опять же, если ты работаешь с цифрами, со всей этой историей, я хочу показать, как работает реальный маркетинг и что должно быть в маркетинге, чтобы это реально работало. И кто должен это делать, как найти вот этого человека, какие критерии должны быть, что он должен рассказать, показать, и т.д. и т.п.

Ещё хочу донести мысль, что неважно, в какой ты точке, неважно, чем ты занимаешься, какая у тебя ниша (естественно, кроме тех, кто обманывает людей): у тебя в любом случае может получиться прийти к целям, к каким-то мечтам — именно в развитии себя, своего бизнеса. Главное — найти этот путь, как к этому прийти. И тут, опять же, поможет маркетинг.

Просто у многих есть понимание, что так как у нас с года пятнадцатого-семнадцатого это прям началось сильно развиваться, и все попробовали какие-то способы, прошли какие-то курсики, и у многих не получилось прийти к результату, они начинают думать: блин, это не работает. Но суть в том, что значит, что-то не так делали, и всё.

В любом случае должно быть решение в любой нише, чтобы прийти к цели, к которой вы хотите прийти. Опять же, если это вообще актуально для целевой аудитории, если ваш продукт реально помогает, тогда всё будет."
"Какие топ-3 победы над собой, которыми ты гордишься?","Топ-3 победы над собой, которыми я горжусь:

1. Я начала уходить и заканчивать сотрудничество с теми, с кем я не хочу работать. Раньше мне было очень сложно, и я могла по 3–4 месяца всю эту историю тянуть. Сейчас это происходит намного быстрее.
2. Я перестала соглашаться на какие-то проекты и идти работать.
3. Я чек повысила: не соглашаюсь на какие-то низкие чеки.

Ещё одна недавняя победа: когда мне Оля Сок предлагала работу, я назвала чек, который был приемлемый для меня, а не «как обычно, я чуть-чуть понижаю, чтобы точно мы начали работать»."
Какие темы тебе самому сейчас интересны?,"
Какие темы мне сейчас интересны: я бы смотрела через историю того, что мне может ещё помочь, с чем я именно сталкиваюсь сейчас в работе.

Я бы посмотрела, как работает SEO. Я не хочу настраивать SEO, вот эту всю историю, но понять принцип, как оно работает. Я так очень сильно базово понимаю, и разобраться в этой истории, чтобы хотя бы просто понимать, как это работает, было бы прикольно.

Ну да, email-рассылки мне ещё интересно было, но пока что фокус сместился. Но я думаю, что он тоже вернётся к тому, как вообще делать эти email-рассылки, потому что базово я, опять же, знаю, но было бы круто прокачать какие-то свои знания в этом, чтобы с этим тоже разбираться.

Ну а так, если делать оффтоп именно с работы, то мне интересно, как, сука, выращивать эти растения, чтобы они не сдыхали. То есть я бы прям реально поизучала информацию: как выращивать дома, что для этого нужно, почему у меня, сука, появляется постоянно эта грёбаная плесень (или что это), и почему сдыхают растения.


Ещё мне недавно стало интересно ферментирование еды, потому что это помогает ЖКТ. Мы недавно с мужем делали первые, грубо говоря, закрутки, и это тоже интересно.

Интересно, как ещё делать и какие делать заготовки: в морозилку. Я хочу сейчас попробовать сделать эти сырники, и мне интересно, что ещё можно сделать такого, чтобы просто достал, разогрел либо в духовку закинул — оно приготовилось, и ты такой: «Всё, кайф, пошёл»."
Что ты всеми силами откладываешь на потом?,"развитие себя и своего блога, увольнение подчинённых "
Что ты больше всего ценишь в других людях?,"Что больше всего я ценю в других людях?

1. Позитив. Мне не нравятся нытики, я этого не люблю, а люди, которые в любом случае позитивные, — это хорошо.
2. Искренность и честность. Тут даже комментировать особо не надо.
3. Юмор. Чтобы мы были на одном вайбе, потому что люди, которые такие серьёзные постоянно, если что-то случится, не могут посмотреть на это с точки зрения юмора: будут сидеть, ныть, ну короче, такая вся история. Понятно, что разные ситуации бывают, но юмор нужен и важен, чтобы не полететь кукухой.
4. Собственное мнение. Потому что вот пример с Нейземной, у которой вообще нет своего собственного мнения: подруга говорит фразы, она их повторяет, у неё они не в голове оседают — это, конечно, вообще бредятина.
Ну и пятое — осознанные люди. Что это значит: что они хотя бы базовые моменты жизни понимают, и у них нет вот этих всратых убеждений, там, СССР-овских, не знаю. Короче, все вот эти убеждения тупые, которые есть обычно у ""выможе"".

Вот, с такими людьми я вообще не хочу общаться, потому что у них насрано в голове. И сидеть и разбираться с их проблемами мне тоже нахер не надо."
"К каким людям ты испытываешь презрение?
","Каким людям я испытываю презрение?

Естественно, к инфоцыганам. Это недавняя травма после работы с этими дебилами.

Ещё испытываю презрение к людям, которые не берут ответственность за свою жизнь: только ноют, ничего не делают, ищут какую-то волшебную таблетку, пытаются в каких-то темках что-то там как-то развиваться.

К людям, которые пытаются людей наебать, которые всем врут.

Короче, вот таких людей вообще терпеть не могу. "